FlexPDE Version 6.36s/W32  14:13:44 Jan  8 2015
(Times listed are wall-clock times, not charged CPU).

START E:\Class Materials\2022 Fall\Eng Phys 2CD4\Topic 2\Final version\Topic-2-2CD4-Group\New folder\group lab 2cd4 flex.pde  19:15:20 10/4/22
Using 1 Thread(s)
 +00:00:00| STEP FAILED. RETRY at Dt= 1.000e-4
 +00:00:00| Step 98 Time= 0.057939 Dt= 7.164e-4 Nodes=5 Cells=2 RMS ERR= 3.047e-8 MAX ERR= 3.047e-8 TIME ERR= 0.001224 MEM=721
 +00:00:00| Step 99 Time= 0.058656 Dt= 7.164e-4 Nodes=5 Cells=2 RMS ERR= 2.495e-8 MAX ERR= 2.495e-8 TIME ERR= 0.001165 MEM=721
 +00:00:00| Step 100 Time= 0.059372 Dt= 7.164e-4 Nodes=5 Cells=2 RMS ERR= 2.021e-8 MAX ERR= 2.021e-8 TIME ERR= 0.001108 MEM=721
 +00:00:00| Step 101 Time= 0.060089 Dt= 7.164e-4 Nodes=5 Cells=2 RMS ERR= 1.617e-8 MAX ERR= 1.617e-8 TIME ERR= 0.001052 MEM=721
 +00:00:00| Step 102 Time= 0.060805 Dt= 7.164e-4 Nodes=5 Cells=2 RMS ERR= 1.275e-8 MAX ERR= 1.275e-8 TIME ERR= 9.987e-4 MEM=721
 +00:00:00| Step 103 Time= 0.061609 Dt= 8.038e-4 Nodes=5 Cells=2 RMS ERR= 1.459e-8 MAX ERR= 1.459e-8 TIME ERR= 0.001284 MEM=721
 +00:00:00| Step 104 Time= 0.062413 Dt= 8.038e-4 Nodes=5 Cells=2 RMS ERR= 1.190e-8 MAX ERR= 1.190e-8 TIME ERR= 0.001198 MEM=721
 +00:00:00| Step 105 Time= 0.063216 Dt= 8.038e-4 Nodes=5 Cells=2 RMS ERR= 9.262e-9 MAX ERR= 9.262e-9 TIME ERR= 0.001167 MEM=721
 +00:00:00| Step 106 Time= 0.064020 Dt= 8.038e-4 Nodes=5 Cells=2 RMS ERR= 6.313e-9 MAX ERR= 6.313e-9 TIME ERR= 0.001111 MEM=721
 +00:00:00| Step 107 Time= 0.064824 Dt= 8.038e-4 Nodes=5 Cells=2 RMS ERR= 4.003e-9 MAX ERR= 4.003e-9 TIME ERR= 0.001049 MEM=721
